ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2952.0,1707.0,10.0,28.0,4.0,,,4.0,1.0,,8.4,JAPAN,,ENSHUNADA,34.1,137.8,85.0,11.0,,3.0,,,2000.0,4.0,,,,,,4.0,10000.0,4.0,,,2000.0,4.0,,,,,,,10000.0,4.0,,
377.0,1707.0,10.0,28.0,5.0,,,4.0,1.0,,8.4,JAPAN,,NANKAIDO,33.2,134.8,85.0,25.7,,3.5,4.0,,5000.0,4.0,,,,,,4.0,17000.0,4.0,,,5000.0,4.0,,,,,,4.0,77000.0,4.0,,
3576.0,1710.0,4.0,16.0,,,,0.0,1.0,,5.5,CHINA,,HUNAN PROVINCE,27.8,111.6,84.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.0,1711.0,9.0,5.0,,,,4.0,1.0,,7.0,INDONESIA,,BANDA SEA,-4.0,129.0,83.0,1.2,,1.0,1.5,,2.0,1.0,,,,,,1.0,2.0,1.0,,,2.0,1.0,,,,,,1.0,2.0,1.0,,
384.0,1711.0,12.0,20.0,,,,4.0,1.0,,6.7,JAPAN,,"SEIONAIKAI, JAPAN",34.3,134.0,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1000.0,3.0,,,,,,3.0,1713.0,4.0,,
397.0,1725.0,3.0,27.0,,,,2.0,1.0,50.0,,PERU,,S. PERU,-16.6,-72.7,89.0,2.0,,1.0,1.5,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
400.0,1730.0,7.0,8.0,8.0,45.0,,4.0,1.0,,8.7,CHILE,,CENTRAL CHILE,-32.5,-71.5,89.0,8.0,,4.0,3.5,,3.0,1.0,,,,,,3.0,,3.0,,,5.0,1.0,,,,,,3.0,,3.0,,
404.0,1732.0,2.0,25.0,,,,3.0,1.0,,,MEXICO,,S. MEXICO,16.8,-99.9,88.0,3.0,,1.6,1.5,,,,,,,,,1.0,,,,,,,,,,,,3.0,,3.0,,
406.0,1732.0,12.0,4.0,,,,3.0,1.0,,6.5,JAPAN,,"KUJUKURI BEACH, JAPAN",35.2,140.8,85.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
403.0,1732.0,,,,,,1.0,0.0,,,JAPAN,,"HACHIJO ISLAND, JAPAN",33.1,139.767,85.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
412.0,1737.0,10.0,16.0,16.0,0.0,,4.0,1.0,,,RUSSIA,,KAMCHATKA,51.1,158.0,86.0,15.24,,4.5,4.0,,3.0,1.0,,,,,,1.0,,3.0,,,3.0,1.0,,,,,,1.0,,3.0,,
419.0,1741.0,8.0,29.0,,,,4.0,6.0,,6.9,JAPAN,,W. HOKKAIDO ISLAND,41.5,139.37,85.0,90.0,,3.2,2.5,,2000.0,4.0,,,,,,3.0,871.0,3.0,,,2000.0,4.0,,,,,,3.0,871.0,3.0,,
